TIMESTAMP,Hour,H,LE,h2o_flux,NEE,rH,Ustar,Tsoil,Tair,Rg
Time,hour,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,%,ms-1,degC,degC,Wm-2
7/1/2019 0:30,,-67.1903,32.6092,0.734689,3.70433,58.18,0.43073,NA,16.21755166,NA
7/1/2019 1:00,,-31.6904,3.27048,0.0736,1.52647,61.35,0.319365,27.181324,15.42289619,0
7/1/2019 1:30,,-40.3635,11.7886,0.265454,1.42457,59.72,0.310421,27.112115,15.67634746,0
7/1/2019 2:00,,-25.2746,NA,NA,1.54148,69.99,0.34347,27.042906,14.56916562,0
7/1/2019 2:30,,-35.0211,5.26757,0.118459,1.47403,71.19,0.288058,26.904488,14.38145923,0
7/1/2019 3:00,,-33.3076,1.80815,0.0407,1.40719,73.63,0.309594,26.76607,14.21090368,0
7/1/2019 3:30,,-32.2678,-0.455241,-0.0102,1.29418,75.15,0.280522,26.696861,13.89361319,0
7/1/2019 4:00,,-22.5725,3.24309,0.0729,1.01599,72.23,0.231343,26.627652,13.94316006,0
7/1/2019 4:30,,-30.6655,2.33935,0.0526,1.21263,73.79,0.255151,26.489234,13.73830283,1.312056
7/1/2019 5:00,,-17.4993,-12.1682,-0.273483,1.68244,73.29,0.255538,26.350816,13.79642511,2.624112
7/1/2019 5:30,,-40.8198,1.45354,0.0327,4.73766,75.52,0.274507,26.281607,13.42672929,14.869968
7/1/2019 6:00,,-39.3077,-11.2692,-0.252881,NA,82.7,0.257675,26.212398,12.24141586,27.115824
7/1/2019 6:30,,-14.2201,2.26935,0.051,0.564146,82.3,0.200429,26.143189,13.01225072,121.583856
7/1/2019 7:00,,NA,NA,NA,NA,77.54,0.496072,26.07398,14.0508292,216.051888
7/1/2019 7:30,,35.1704,10.7137,0.240922,-1.55265,78.2,0.152539,25.935562,14.3290539,321.45372
7/1/2019 8:00,,76.327,9.19812,0.207226,-0.929161,69.95,0.360334,25.797144,16.17753304,426.855552
7/1/2019 8:30,,100.058,20.8415,0.469916,-1.06023,67.85,0.406177,25.727935,16.96456591,509.077728
7/1/2019 9:00,,183.874,20.2887,0.458052,-1.92407,60.97,0.463845,25.658726,18.25850131,591.299904
7/1/2019 9:30,,172.42,21.0061,0.474599,-1.74214,57.23,0.38391,25.589517,18.99027037,657.777408
7/1/2019 10:00,,180.666,34.8148,0.787218,-1.89485,53.75,0.373029,25.520308,19.78397302,724.254912
7/1/2019 10:30,,300.436,45.6182,1.03273,-3.44368,50.5,0.416348,25.520308,20.9635695,774.11304
7/1/2019 11:00,,254.893,19.1557,0.433977,-1.93293,49.91,0.415154,25.520308,21.68485749,823.971168
7/1/2019 11:30,,249.236,66.9051,1.51673,-2.69545,47.87,0.314542,25.520308,22.3203913,854.148456
7/1/2019 12:00,,278.68,80.8298,1.83452,-2.74409,38.94,0.394977,25.520308,23.45520504,884.325744
7/1/2019 12:30,,310.738,37.6552,0.855236,-3.2542,38.29,0.339118,25.589517,24.16124785,882.576336
7/1/2019 13:00,,324.242,49.6891,1.12932,-3.98205,37.13,0.377137,25.658726,24.83013051,880.826928
7/1/2019 13:30,,369.041,62.1605,1.41322,-3.6343,36.36,0.414567,25.797144,25.14170405,846.713472
7/1/2019 14:00,,306.308,46.0171,1.04632,-3.02139,35.91,0.351756,25.935562,25.25413732,812.600016
7/1/2019 14:30,,291.132,34.2208,0.778223,-3.03999,35.49,0.293894,26.07398,25.40944768,776.737152
7/1/2019 15:00,,249.31,41.804,0.950966,-1.71892,35.13,0.377349,26.212398,25.71149299,740.874288
7/1/2019 15:30,,273.004,44.1159,1.00358,-2.94188,35.46,0.363333,26.420025,25.72864382,664.77504
7/1/2019 16:00,,261.211,44.5345,1.01283,-2.8451,35.91,0.429578,26.627652,25.46566432,588.675792
7/1/2019 16:30,,233.867,30.8247,0.700673,-2.54287,36.83,0.458237,26.76607,24.96257309,528.758568
7/1/2019 17:00,,201.798,59.571,1.35385,-1.98538,37.64,0.40807,26.904488,24.78344212,468.841344
7/1/2019 17:30,,185.688,41.5043,0.942938,-1.73754,35.45,0.405447,27.112115,24.45090644,379.621536
7/1/2019 18:00,,147.377,23.0209,0.522849,-0.526221,35.69,0.371528,27.319742,24.14314419,290.401728
7/1/2019 18:30,,97.3456,22.8209,0.518045,-0.874271,37.66,0.313954,27.388951,23.64672273,199.869864
7/1/2019 19:00,,53.8361,18.9411,0.429626,-0.315959,38.24,0.284685,27.45816,22.85778421,109.338
7/1/2019 19:30,,20.7348,24.9519,0.565355,0.15181,42.57,0.280527,27.527369,21.79919641,57.730464
7/1/2019 20:00,,-7.93835,NA,NA,0.976578,45.5,0.330524,27.596578,20.89877745,6.122928
7/1/2019 20:30,,-29.0294,15.1065,0.341515,2.03498,50.78,0.341525,27.665787,19.59245533,3.061464
7/1/2019 21:00,,-16.1287,13.4255,0.3031,1.44336,55.38,0.310417,27.734996,18.24992589,0
7/1/2019 21:30,,-25.8998,7.72983,0.174429,1.67783,53.43,0.286371,27.734996,17.77637222,0
7/1/2019 22:00,,-35.0391,18.7419,0.422858,2.00754,51.33,0.317965,27.734996,17.62392033,0
7/1/2019 22:30,,-33.1151,11.0883,0.250226,1.77908,47.98,0.370516,27.665787,17.81829648,0
7/1/2019 23:00,,-23.0866,NA,NA,1.50312,55.46,0.351309,27.596578,16.91883035,0
7/1/2019 23:30,,-24.7067,6.61888,0.149217,1.54287,56.01,0.284193,27.527369,16.83593463,0
7/2/2019 0:00,,-24.3104,8.32271,0.187658,1.37044,56.81,0.240631,27.45816,16.98838652,0
7/2/2019 0:30,,-29.1145,15.8317,0.357105,0.87915,56.1,0.266597,27.388951,17.36856341,0
7/2/2019 1:00,,-33.2224,7.49113,0.16897,1.67132,56.72,0.248722,27.319742,17.35522387,0
7/2/2019 1:30,,-30.3649,8.21497,0.18537,1.40995,53.74,0.231237,27.250533,17.74207054,0
7/2/2019 2:00,,-26.2447,8.09817,0.182704,1.24967,52.73,0.193581,27.181324,17.57627911,0
7/2/2019 2:30,,-31.0973,3.85189,0.0869,1.50646,50.93,0.224251,27.042906,17.62010903,0
7/2/2019 3:00,,-30.5981,10.7548,0.242566,1.35311,51.76,0.253365,26.904488,17.27137534,0
7/2/2019 3:30,,-32.5722,7.61006,0.171627,1.52439,50.33,0.24187,26.835279,17.20372481,0
7/2/2019 4:00,,-33.1484,10.1755,0.229522,1.45571,47.87,0.261228,26.76607,17.37237471,0
7/2/2019 4:30,,-33.4776,7.44515,0.167914,1.51852,47.65,0.252591,26.627652,17.23993213,0.874704
7/2/2019 5:00,,-36.2688,8.77217,0.197779,1.65511,48.82,0.26821,26.489234,16.92073599,1.749408
7/2/2019 5:30,,-37.8371,6.85041,0.154426,1.69181,48.71,0.258422,26.420025,16.76733128,10.059096
7/2/2019 6:00,,-28.5761,6.95344,0.156742,1.21687,47.98,0.18321,26.350816,16.72159572,18.368784
7/2/2019 6:30,,-24.1314,9.46814,0.213485,1.06631,47.71,0.241307,26.281607,16.98933934,115.460928
7/2/2019 7:00,,-10.3726,16.1878,0.365298,0.864127,45.48,0.271488,26.212398,17.8030513,212.553072
7/2/2019 7:30,,34.3921,NA,NA,0.251237,46.89,0.365431,26.07398,18.15083217,314.89344
7/2/2019 8:00,,64.0604,20.0049,0.451807,-0.404354,47.31,0.359038,25.935562,18.6148576,417.233808
7/2/2019 8:30,,98.5531,14.7584,0.333496,-0.514954,46.46,0.360016,25.866353,19.15129768,498.58128
7/2/2019 9:00,,137.65,19.5173,0.441242,-1.29649,45.59,0.34739,25.797144,19.61818159,579.928752
7/2/2019 9:30,,171.455,20.051,0.453506,-1.5661,46.64,0.400745,25.727935,20.0459997,648.155664
7/2/2019 10:00,,NA,NA,NA,NA,46.35,NA,25.658726,23.6,716.382576
7/2/2019 10:30,,NA,NA,NA,NA,42.73,NA,25.658726,24.35,765.803352
7/2/2019 11:00,,271.531,37.4589,0.848994,-2.71542,40.76,0.260958,25.658726,22.09647759,815.224128
7/2/2019 11:30,,303.209,61.2054,1.38833,-3.16435,39.32,0.314478,25.658726,22.89780283,841.9026
7/2/2019 12:00,,305.479,76.7104,1.741,-3.32278,38.66,0.213493,25.658726,23.44377115,868.581072
7/2/2019 12:30,,295.25,45.087,1.02385,-3.56479,39.4,0.264583,25.727935,23.986881,871.642536
7/2/2019 13:00,,296.162,39.8209,0.904676,-3.47692,39.06,0.369383,25.797144,24.43280278,874.704
7/2/2019 13:30,,357.626,62.3171,1.41653,-4.27908,38.06,0.400661,25.935562,24.96447873,858.521976
7/2/2019 14:00,,294.828,47.2163,1.07293,-3.0511,36.78,0.358487,26.07398,24.65290519,842.339952
7/2/2019 14:30,,324.149,56.7186,1.28954,-3.32636,36.09,0.31555,26.212398,25.17695855,773.238336
7/2/2019 15:00,,338.189,NA,NA,-3.03258,36.07,0.387259,26.350816,24.98925217,704.13672
7/2/2019 15:30,,282.975,48.4411,1.1015,-3.21739,37.11,0.410869,26.558443,25.3122596,610.543392
7/2/2019 16:00,,281.902,43.6894,0.992939,-2.88791,37.39,0.421274,26.76607,24.80535708,516.950064
7/2/2019 16:30,,219.414,39.7961,0.903874,-2.92523,38.38,0.37195,26.904488,24.17554021,458.782248
