"TOA5","CR6Series_Concord","CR6","8444","CR6.Std.07.02","CPU:CO_2021-10-01_WSC.CR6","238","Met"
"TIMESTAMP","RECORD","BattV_Avg","PTemp_C_Avg","AM25T_ref_Avg","TC_Avg(1)","TC_Avg(2)","TC_Avg(3)","TC_Avg(4)","TC_Avg(5)","TC_Avg(6)","TC_Avg(7)","TC_Avg(8)","TC_Avg(9)","TC_Avg(10)","TC_Avg(11)","TC_Avg(12)","TC_Avg(13)","TC_Avg(14)","TC_Avg(15)","TC_Avg(16)","TC_Avg(17)","TC_Avg(18)","TC_Avg(19)","TC_Avg(20)","TC_Avg(21)","TC_Avg(22)","TC_Avg(23)","TC_Avg(24)","TC_Avg(25)","AirT_Avg","RH_Avg","AtmPressure_Avg","NR_mV_Avg","NR_Wm2_Avg","PAR_in_mV_Avg","PAR_in_uEm2_Avg","PAR_out_mV_Avg","PAR_out_uEm2_Avg","SHF_1_mV_Avg","SHF_1_Wm2_Avg","SHF_2_mV_Avg","SHF_2_Wm2_Avg","WaterP_Avg","WaterT_Avg","Precip_mm_Tot","VWC_Avg","EC_Avg","T_Avg","P_Avg","PA_Avg","VR_Avg","VWC_2_Avg","EC_2_Avg","T_2_Avg","P_2_Avg","PA_2_Avg","VR_2_Avg"
"TS","RN","Volts","Deg C","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","degC","Deg C","%","kPa","mV","W/m^2","mV","umol/m^2/s","mV","umol/m^2/s","mV","W/m^2","mV","W/m^2","","","mm","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-07-13 11:30:00",13652,12.77,26.53,26.43,25.01,24.54,"NAN",24.54,24.16,26.67,25.5,25.1,25.03,24.81,25.39,25.78,25.77,25.85,25.44,32.25,28.19,26.22,25.42,24.81,"NAN","NAN","NAN","NAN","NAN",21.6,56.24,100.1105,6.767,676.7,6.472,647.2,1.526,152.6,20.35,203.5,-0.038,-0.383,0,0,0,0.135,0.03,26.3,7.424,1.388,1.038,0.183,0.097,25.07,9.73,1.447,1.12
"2022-07-13 12:00:00",13653,12.85,26.97,26.64,25.21,24.6,"NAN",24.52,24.17,27.35,25.96,25.4,25.23,25.02,25.96,25.81,25.72,25.76,25.35,33.27,28.8,26.49,25.52,24.8,"NAN","NAN","NAN","NAN","NAN",22.31,54.3,100.1048,7.246,724.6,6.764,676.4,1.604,160.4,20.33,203.3,0.017,0.174,0,0,0,0.137,0.031,26.9,7.51,1.392,1.039,0.185,0.098,25.66,9.82,1.449,1.121
"2022-07-13 12:30:00",13654,12.85,28.04,26.99,25.52,24.79,"NAN",24.6,24.25,27.92,26.41,25.71,25.43,25.13,26.47,25.76,25.61,25.59,25.19,34.21,29.33,26.74,25.58,24.73,"NAN","NAN","NAN","NAN","NAN",23.11,51.62,100.0924,7.539,753.9,6.99,699,1.683,168.3,20.58,205.8,0.083,0.834,0,0,0,0.139,0.03,27.52,7.615,1.395,1.038,0.186,0.1,26.29,9.89,1.452,1.124
"2022-07-13 13:00:00",13655,12.86,29.34,27.94,25.83,24.95,"NAN",24.62,24.25,28.46,26.8,25.95,25.53,25.15,26.91,25.88,25.64,25.56,25.14,35.08,29.92,27.06,25.71,24.71,"NAN","NAN","NAN","NAN","NAN",24.14,48.07,100.0684,7.686,768.6,7.08,708,1.714,171.4,20.85,208.5,0.158,1.576,0,0,0,0.14,0.031,28.13,7.659,1.397,1.039,0.188,0.101,26.94,9.96,1.454,1.125
"2022-07-13 13:30:00",13656,12.85,30.46,29,26.19,25.15,"NAN",24.65,24.23,29.04,27.19,26.18,25.62,25.13,27.33,26.12,25.75,25.58,25.12,35.94,30.51,27.41,25.88,24.69,"NAN","NAN","NAN","NAN","NAN",24.96,46.36,100.0466,7.707,770.7,7.076,707.6,1.719,171.9,21.04,210.4,0.238,2.379,0,0,0,0.141,0.031,28.75,7.707,1.399,1.039,0.189,0.103,27.58,10.03,1.456,1.127
"2022-07-13 14:00:00",13657,12.86,30.56,29.79,26.59,25.38,"NAN",24.68,24.19,29.6,27.57,26.4,25.7,25.07,27.72,26.45,25.92,25.64,25.13,36.71,31.1,27.79,26.06,24.66,"NAN","NAN","NAN","NAN","NAN",26.35,41.96,100.0256,7.567,756.7,6.978,697.8,1.697,169.7,21.33,213.3,0.322,3.22,0,0,0,0.142,0.032,29.38,7.754,1.401,1.04,0.19,0.104,28.16,10.09,1.459,1.128
"2022-07-13 14:30:00",13658,12.85,30.92,30.37,27,25.62,"NAN",24.73,24.16,30.15,27.96,26.66,25.8,25.04,28.15,26.75,26.1,25.71,25.13,37.21,31.58,28.13,26.25,24.67,"NAN","NAN","NAN","NAN","NAN",26.76,41.29,99.99694,7.397,739.7,6.797,679.7,1.656,165.6,21.31,213.1,0.408,4.08,0,0,0,0.143,0.033,29.98,7.8,1.402,1.041,0.191,0.105,28.7,10.13,1.46,1.13
"2022-07-13 15:00:00",13659,12.85,31.53,30.77,27.37,25.87,"NAN",24.81,24.16,30.65,28.39,26.96,25.97,25.07,28.6,26.99,26.23,25.76,25.1,37.34,31.91,28.41,26.44,24.68,"NAN","NAN","NAN","NAN","NAN",26.99,40.49,99.97578,7.079,707.9,6.532,653.2,1.599,159.9,21.6,216,0.494,4.941,0,0,0,0.144,0.033,30.54,7.851,1.404,1.042,0.192,0.107,29.11,10.17,1.462,1.132
