year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,254,254,1330,681268,108.923,108.858,101.364,18.9805,17.885,16.732,0.341092607
2020,254,254,1400,681268,103.354,102.177,93.3227,18.2237,16.9761,15.7749,0.341896386
2020,254,254,1430,681268,103.696,103.575,96.2552,18.0727,16.9668,15.8465,0.341239076
2020,254,254,1500,681268,103.411,103.131,96.6181,18.0165,16.8873,15.8561,0.340186588
2020,254,254,1530,681268,107.164,106.716,100.951,18.1221,17.0085,15.9167,0.338962809
2020,255,255,900,681268,115.736,113.274,107.915,18.1434,16.5506,15.2741,0.336199451
2020,255,255,930,681268,116.439,114.193,108.266,18.1918,16.6691,15.3575,0.336953892
2020,255,255,1000,681268,117.783,115.463,109.792,18.1873,16.7107,15.3364,0.336589532
2020,255,255,1030,681268,118.997,116.57,109.994,18.1832,16.7392,15.3674,0.337335521
2020,255,255,1100,681268,119.585,117.12,111.677,18.3793,17.0206,15.6036,0.336182696
2020,255,255,1130,681268,119.378,117.295,110.611,18.3894,17.0588,15.7034,0.337749508
2020,255,255,1200,681268,117.779,115.981,110.191,18.7142,17.4982,15.9913,0.337202101
2020,255,255,1230,681268,117.812,115.76,108.451,19.1712,17.9344,16.4478,0.33845677
2020,255,255,1300,681268,136.852,134.535,127.855,19.1654,18.1034,16.6147,0.33697607
2020,255,255,1330,681268,114.56,112.062,104.57,19.5419,18.3589,16.8785,0.338359622
2020,255,255,1400,681268,111.105,109.337,102.753,19.7134,18.5474,17.1165,0.338300407
2020,255,255,1430,681268,108.733,106.671,99.7748,19.6913,18.4478,16.9356,0.338445987
2020,255,255,1500,681268,105.721,103.623,96.5865,19.7896,18.4974,16.9334,0.338714185
2020,255,255,1530,681268,102.974,100.857,93.6768,20.096,18.7379,17.1519,0.339006238
2020,256,256,900,681268,121.027,115.342,104.18,18.9711,17.2859,15.548,0.338694285
2020,256,256,930,681268,123.308,118.986,109.01,19.1137,17.6688,16.0676,0.338698108
2020,256,256,1000,681268,124.928,120.645,110.835,19.1538,17.7548,16.121,0.338502503
2020,256,256,1030,681268,125.488,122.098,112.472,19.4366,18.1653,16.6296,0.339106477
2020,256,256,1100,681268,123.839,120.903,112.651,19.4022,18.2282,16.665,0.338291461
2020,256,256,1130,681268,142.783,140.087,131.765,20.1032,19.1088,17.6419,0.337856187
2020,256,256,1200,681268,123.928,121.269,112.355,19.5873,18.5153,16.9237,0.339164653
2020,256,256,1230,681268,123.093,119.95,110.805,19.5226,18.4341,16.7378,0.338987362
2020,256,256,1300,681268,119.468,116.04,106.307,19.5799,18.4365,16.5935,0.339481883
2020,256,256,1330,681268,119.309,115.319,104.486,20.1795,18.9952,17.0358,0.340059685
2020,256,256,1400,681268,115.275,110.623,98.5146,20.5246,19.1796,17.0103,0.34099477
2020,256,256,1430,681268,112.024,106.384,93.6699,20.6877,19.1814,16.7966,0.340889246
2020,256,256,1500,681268,107.419,101.572,88.1577,20.8182,19.0608,16.5725,0.341822125
2020,256,256,1530,681268,100.953,95.335,83.4858,21.0986,19.254,16.9159,0.340757426
2020,257,257,900,681268,126.663,119.301,105.12,19.4973,17.745,15.5861,0.339807567
2020,257,257,930,681268,129.223,122.565,108.504,19.4688,17.9002,15.9678,0.340182408
2020,257,257,1000,681268,149.631,144.157,130.617,19.8316,18.8883,17.4959,0.339668477
2020,257,257,1030,681268,132.026,125.825,111.693,19.0332,17.785,15.8527,0.340487195
2020,257,257,1100,681268,131.09,125.631,112.767,18.8447,17.6719,15.7344,0.340013749
2020,257,257,1130,681268,130.02,125.572,112.902,19.3487,18.336,16.511,0.340770813
2020,257,257,1200,681268,129.665,124.533,112.4,19.4986,18.5528,16.6816,0.339699071
2020,257,257,1230,681268,129.841,122.816,107.074,19.7786,18.716,16.4371,0.341410665
2020,257,257,1300,681268,129.622,121.502,104.238,20.8006,19.7058,17.2787,0.341910503
2020,257,257,1330,681268,126.344,118.008,101.031,20.6404,19.3932,16.7697,0.341672868
2020,257,257,1400,681268,121.877,114.8,99.2022,21.6556,20.4171,17.8477,0.341789548
2020,257,257,1430,681268,114.558,108.613,95.0194,21.6998,20.3692,17.8568,0.341345936
