year,doy,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,254,1330,44299,72.7841,74.0984,55.2424,8.32324,7.93614,7.62156,0.366597089225523
2020,254,1400,44299,67.44,68.439,50.1139,7.62244,7.34031,6.79337,0.367965658904184
2020,254,1430,44299,68.0758,69.4111,51.8792,7.62899,7.46332,7.04677,0.366544487107249
2020,254,1500,44299,66.8003,68.1941,50.5494,7.78346,7.48223,7.00785,0.367536398413744
2020,254,1530,44299,69.9738,71.565,54.2942,8.02039,7.8412,7.18002,0.365438919896034
2020,255,900,44299,80.0107,80.3154,70.6418,9.26564,7.65937,7.35027,0.347734035768607
2020,255,930,44299,81.1491,81.3368,70.0507,9.80474,7.87534,7.67697,0.349780636682569
2020,255,1000,44299,83.2816,82.9624,70.481,9.85779,7.98431,7.78241,0.350458971380294
2020,255,1030,44299,84.6894,84.0809,70.628,10.0332,8.12958,7.84837,0.351217615162681
2020,255,1100,44299,85.2101,85.0226,72.5103,9.61545,7.92388,7.57294,0.350257679933098
2020,255,1130,44299,84.8347,85.1723,69.9494,10.0643,8.1938,8.06904,0.354949065746944
2020,255,1200,44299,84.1247,83.4808,68.6721,9.55399,8.0596,7.98029,0.353316607245037
2020,255,1230,44299,84.1395,83.348,65.9235,9.84193,8.22793,8.28318,0.357086855375282
2020,255,1300,44299,147.937,146.857,141.651,26.7701,26.1013,25.1746,0.336484551318036
2020,255,1330,44299,81.6416,80.2905,62.2766,9.73814,8.23412,8.46012,0.358106085981498
2020,255,1400,44299,78.584,78.325,62.6179,9.16365,7.93677,7.98196,0.356789987924031
2020,255,1430,44299,75.9419,76.0828,60.4464,8.86936,7.77297,7.76486,0.358085405497501
2020,255,1500,44299,72.8817,73.2255,56.4051,8.80171,7.67853,7.77063,0.361585444439671
2020,255,1530,44299,71.7876,72.2711,55.9007,8.63229,7.64064,7.72275,0.361428870060622
2020,256,900,44299,83.7915,80.2703,62.0631,11.4809,9.32943,9.53819,0.354982135978833
2020,256,930,44299,87.1028,83.7553,65.1676,11.2977,9.23245,9.29367,0.354856695690342
2020,256,1000,44299,89.4503,85.7294,65.5968,11.0717,9.08244,8.96015,0.35605385077032
2020,256,1030,44299,89.3485,86.4064,65.7241,11.0634,9.06248,9.08081,0.357821591111442
2020,256,1100,44299,88.5879,85.9412,66.7438,10.6589,8.86029,8.75121,0.356199142133244
2020,256,1130,44299,121.135,118.597,105.594,25.9374,25.6789,30.9677,0.343434899196701
2020,256,1200,44299,89.8524,87.2185,65.7574,10.8231,9.11651,9.09232,0.359177657628868
2020,256,1230,44299,89.3859,86.7092,66.0038,10.5922,8.99774,9.02152,0.358156108929037
2020,256,1300,44299,87.2841,84.3571,64.4756,10.2418,8.68056,8.86239,0.35726852134198
2020,256,1330,44299,88.4728,85.4618,65.5115,10.5431,8.91994,8.94852,0.356914562400473
2020,256,1400,44299,85.8535,82.43,62.7258,10.5232,8.97117,9.16433,0.356825461139443
2020,256,1430,44299,82.4251,79.8823,61.8093,10.123,8.62411,8.78929,0.356431716155021
2020,256,1500,44299,78.9143,77.2195,59.8649,10.1713,8.6068,8.93187,0.357499836804573
2020,256,1530,44299,73.6642,73.4624,57.4915,10.2267,8.55472,9.23965,0.359022002452373
2020,257,900,44299,90.3574,84.2262,63.7531,12.8855,10.5006,10.82,0.353391651390659
2020,257,930,44299,93.7606,87.1771,64.3608,12.9096,10.658,11.2481,0.355391900072768
2020,257,1000,44299,113.404,106.367,79.6545,13.4375,10.9375,11.3951,0.355236945417141
2020,257,1030,44299,97.4852,90.544,65.9279,13.3679,11.4551,12.5139,0.356532658468694
2020,257,1100,44299,96.7744,90.3933,67.0764,12.5511,11.051,12.1227,0.355537453966483
2020,257,1130,44299,95.1256,89.85,64.9238,12.1221,10.6215,11.7398,0.359544680779546
2020,257,1200,44299,95.9504,90.1276,65.7806,11.9907,10.4536,11.2396,0.357849999960295
2020,257,1230,44299,96.4492,89.185,62.2791,11.83,10.3201,11.0497,0.35974270037146
2020,257,1300,44299,96.7511,88.7996,60.2938,12.2108,10.6112,11.1453,0.361202304708871
2020,257,1330,44299,94.7989,87.0746,60.3304,11.8952,10.2835,10.8555,0.359509487667209
2020,257,1400,44299,91.3738,84.873,58.8081,11.749,10.3162,10.8999,0.361077348313096
2020,257,1430,44299,85.8002,81.335,58.1244,11.743,10.3399,11.1971,0.361072291702551
2020,257,1500,44299,80.9915,77.5406,57.1213,11.1439,9.88126,10.6532,0.359561221849505
2020,257,1530,44299,75.9539,73.5786,54.7976,10.8803,9.59523,10.3412,0.36009672583726
2020,258,900,44299,92.6442,89.0087,70.6193,12.598,10.2373,10.8726,0.352828016721621
2020,258,1000,44299,110.672,97.8098,64.925,14.0533,11.5322,11.4854,0.357744576945416
2020,258,1030,44299,110.59,97.8558,62.4496,13.4236,10.876,10.8685,0.361230940060259
2020,258,1100,44299,109.234,97.8078,64.2528,12.572,10.4197,10.5584,0.360522472618327
2020,258,1130,44299,105.149,95.9492,63.8716,12.7681,10.9025,11.5525,0.362113720129615
2020,258,1200,44299,104.166,96.8928,69.0549,12.713,11.1037,12.3055,0.358711164964976
2020,258,1230,44299,104.019,94.743,64.2586,12.4181,10.7087,11.5829,0.360211329454803
2020,258,1300,44299,105.349,94.0099,61.1793,12.6059,10.8846,11.1666,0.360829621145767
2020,258,1330,44299,102.745,92.536,61.6527,12.3743,10.8558,11.2554,0.360155168434503
2020,258,1400,44299,99.7558,89.9067,61.0211,12.2478,10.7756,11.044,0.358646118054791
2020,258,1430,44299,96.9903,88.1421,59.9569,12.4943,10.8298,11.326,0.359632591059667
2020,258,1500,44299,90.2803,84.0795,59.3721,11.9513,10.5131,11.0273,0.359726250460463
2020,258,1530,44299,82.3572,78.3035,57.8639,11.7547,10.346,10.8556,0.358328078394835
2020,259,900,44299,113.617,93.6631,53.352,15.6689,12.3766,11.336,0.359369010954522
2020,259,930,44299,118.548,96.4824,50.2225,12.7725,9.47394,6.75737,0.363737399289508
2020,259,1000,44299,117.969,96.998,51.238,14.5091,11.4383,10.3246,0.364373321312522
2020,259,1100,44299,117.672,97.0415,49.7374,13.8651,11.1381,10.1918,0.366954697450453
2020,259,1130,44299,117.368,96.9293,51.0152,13.7045,11.2373,10.5627,0.36534011778563
2020,259,1200,44299,114.466,96.413,54.5298,13.5644,11.557,11.4169,0.363262258071322
2020,259,1230,44299,107.622,94.8679,58.3784,12.8801,11.4214,11.9283,0.363662047094262
2020,259,1300,44299,106.991,93.5097,56.8334,12.9902,11.2743,11.5165,0.363378580607856
2020,259,1330,44299,108.239,92.8971,55.8751,13.1859,11.5316,11.5716,0.361451563200359
2020,259,1400,44299,101.226,89.4644,57.0113,12.8653,11.3328,11.7468,0.361177981418779
2020,259,1430,44299,97.2412,86.3446,55.6385,13.1253,11.4027,11.964,0.36093574105975
2020,259,1500,44299,91.1428,82.2516,56.8428,12.5805,11.0252,11.8904,0.357247221561068
2020,259,1530,44299,82.3761,78.2516,56.5371,11.9767,10.8013,11.7208,0.360332797948839
2020,260,900,44299,95.2645,84.7955,57.6377,14.4608,12.1812,12.5227,0.356736729047021
2020,260,930,44299,105.94,92.3816,58.4775,14.5188,12.587,12.8747,0.359742693802276
2020,260,1000,44299,116.715,101.072,53.2596,15.4757,13.0407,8.677,0.372895288116508
2020,254,1330,46969,73.7359,74.6973,57.0046,10.6333,10.0462,11.6804,0.363600564258379
2020,254,1400,46969,68.4855,69.098,51.9463,10.4634,9.95848,11.1551,0.364575913655794
2020,254,1430,46969,68.8789,69.8267,53.3489,9.76072,9.26168,10.6986,0.363577526170957
2020,254,1500,46969,67.9073,68.9644,52.5823,10.7591,10.2772,11.9176,0.364016595057375
2020,254,1530,46969,70.5793,71.7606,55.6294,9.91572,9.31783,10.7354,0.362483475973295
2020,255,900,46969,82.085,82.324,74.1288,12.4915,11.3052,13.0941,0.345119306038707
2020,255,930,46969,83.2463,83.3416,73.6585,12.8476,11.416,13.4213,0.346900515470783
2020,255,1000,46969,85.2995,84.9245,74.1068,12.7754,11.4241,13.5949,0.347580002193747
2020,255,1030,46969,86.9641,86.238,74.5493,13.125,11.7445,14.0339,0.348082795899438
2020,255,1100,46969,87.2445,86.9136,76.1549,12.5809,11.3019,13.5573,0.347219680959439
2020,255,1130,46969,87.2878,87.4966,74.105,13.271,11.9275,14.5565,0.351548117356545
