year,doy,doy_cont,time,Mdate,dnr,dng,dnb,dnr_sd,dng_sd,dnb_sd,gcc
2020,117,117,1215,721792,139.804,107.424,43.6593,13.0817,12.1481,8.87948,0.369297663
2020,117,117,1245,721792,136.3,104.176,43.6153,12.8037,11.5173,8.29265,0.366699015
2020,117,117,1315,721792,131.393,99.886,42.7234,13.0821,11.4376,8.19203,0.364544252
2020,117,117,1345,721792,130.566,98.2441,42.175,13.3418,11.4683,8.11693,0.362544287
2020,117,117,1415,721792,125.765,95.809,40.7102,13.847,11.6758,8.11113,0.365286967
2020,117,117,1445,721792,123.219,93.8597,39.4127,14.0374,11.5496,7.67447,0.365937026
2020,117,117,1515,721792,124.134,92.751,38.9418,14.6584,12.0382,7.71782,0.362553884
2020,117,117,1545,721792,124.051,93.8325,38.9938,15.5782,12.6327,7.80913,0.365281401
2020,118,118,915,721792,162.243,124.517,44.1358,15.7514,16.0803,9.3727,0.376302752
2020,118,118,945,721792,150.794,115.658,43.2687,14.9482,14.4781,8.67297,0.373426768
2020,118,118,1015,721792,149.267,116.259,43.0516,13.6927,13.3782,8.15764,0.376757743
2020,118,118,1045,721792,135.76,107.511,43.5474,13.2347,12.311,7.86217,0.374839968
2020,118,118,1115,721792,141.462,113.054,40.9687,12.2773,12.0556,7.6131,0.382605258
2020,118,118,1145,721792,136.904,108.633,40.0129,11.8693,11.2692,7.24601,0.380434383
2020,118,118,1215,721792,127.97,100.812,40.6162,11.8177,10.6668,7.22637,0.374211854
2020,118,118,1245,721792,127.881,100.042,39.3566,11.7578,10.2986,6.92109,0.374297178
2020,118,118,1315,721792,114.291,89.1946,37.4998,11.273,9.58471,6.41884,0.370124497
2020,118,118,1345,721792,127.656,96.2738,40.5967,12.503,10.3725,7.02202,0.363947657
2020,118,118,1415,721792,130.144,97.7368,40.3751,12.921,10.6927,7.18206,0.36434166
2020,118,118,1445,721792,132.758,96.9027,38.1169,13.3057,10.9535,6.94749,0.361877543
2020,118,118,1515,721792,129.658,95.654,38.4004,13.9697,11.3459,6.87115,0.362720904
2020,118,118,1545,721792,128.473,95.7092,39.1913,14.924,12.1629,7.07774,0.363397229
2020,119,119,915,721792,171.642,130.649,43.9963,14.1874,15.765,8.7779,0.377284989
2020,119,119,945,721792,170.576,130.109,44.5362,13.4474,14.7508,8.52748,0.376885892
2020,119,119,1015,721792,167.069,128.017,44.8544,12.6946,13.593,7.99873,0.376586602
2020,119,119,1045,721792,163.674,125.057,44.4201,12.0847,12.7051,7.74283,0.375376218
2020,119,119,1115,721792,160.587,122.674,47.9579,11.5912,11.9682,7.84655,0.370371377
2020,119,119,1145,721792,155.101,117.789,47.4245,11.6309,11.5094,7.86533,0.367729216
2020,119,119,1215,721792,152.165,114.21,46.1003,11.6975,11.1927,7.82141,0.365500889
2020,119,119,1245,721792,146.869,109.118,44.2267,12.0261,10.9206,7.6916,0.363467756
2020,119,119,1315,721792,145.961,107.053,42.8811,12.2219,10.8446,7.55372,0.361793757
2020,119,119,1345,721792,141.832,103.687,41.4691,12.5409,10.7583,7.38725,0.361293726
2020,119,119,1415,721792,139.135,101.639,39.7538,12.8029,10.6191,6.99812,0.362313468
2020,119,119,1445,721792,137.961,99.4732,38.8083,13.4155,10.8655,6.93228,0.360093758
2020,119,119,1515,721792,136.426,99.138,38.8868,13.9005,11.2734,6.81822,0.361223214
2020,119,119,1545,721792,135.67,98.6871,39.6286,14.875,11.9401,6.94645,0.360190696
2020,120,120,915,721792,115.854,94.9946,45.7955,13.9544,12.943,8.57742,0.370141375
2020,120,120,945,721792,108.921,88.3797,42.6381,12.7222,11.8602,7.67397,0.368342677
2020,120,120,1015,721792,87.911,72.7073,37.4035,11.0136,9.76162,6.62462,0.36716816
2020,120,120,1045,721792,92.2957,77.8345,39.9639,11.5664,10.6414,7.2091,0.370474468
2020,120,120,1115,721792,101.093,83.4343,43.9784,10.8653,10.0923,7.12501,0.36513006
2020,120,120,1145,721792,85.5303,71.0981,36.3494,10.1882,8.82003,6.14346,0.368426316
2020,120,120,1215,721792,81.6216,71.1784,37.6312,10.21,9.03586,6.24098,0.373774886
2020,120,120,1245,721792,80.1144,66.841,38.4749,9.25614,8.06423,6.04872,0.360464282
2020,120,120,1315,721792,78.5501,66.753,37.5965,9.5,8.361,5.98629,0.364970727
2020,120,120,1345,721792,79.4981,66.6365,36.9108,9.23117,7.98701,5.80161,0.364043565
2020,120,120,1415,721792,73.0295,61.4076,34.7818,8.82953,7.68782,5.50655,0.362888543
2020,120,120,1445,721792,92.4172,77.1416,39.1574,10.924,9.36651,6.83445,0.369600443
2020,120,120,1515,721792,79.6739,66.8428,36.962,10.248,8.69908,6.31724,0.364308228
2020,120,120,1545,721792,96.2439,79.1403,37.2891,13.1427,11.1295,7.27487,0.372121465
2020,121,121,915,721792,154.761,120.278,46.1046,15.7041,15.8894,9.59729,0.374530272
2020,121,121,945,721792,157.167,122.135,46.8433,14.6621,14.9721,9.20643,0.374480331
2020,121,121,1015,721792,140.305,108.035,46.1474,14.275,12.9555,8.4849,0.366857801
2020,121,121,1045,721792,160.744,123.764,44.3604,13.0356,13.3569,8.55522,0.376332904
2020,121,121,1115,721792,159.314,119.496,45.2795,12.7731,12.9272,8.6926,0.368712964
2020,121,121,1145,721792,139.282,106.288,43.4309,12.747,11.7231,8.12494,0.367777401
2020,121,121,1215,721792,148.571,110.633,43.9012,12.5812,11.7322,8.34789,0.364998687
2020,121,121,1245,721792,141.898,106.833,43.7444,12.4554,11.3144,8.18684,0.365271746
2020,121,121,1315,721792,137.95,101.661,40.6377,12.3352,10.8573,7.72848,0.362752798
2020,121,121,1345,721792,131.254,97.8272,39.3664,12.2264,10.4011,7.1352,0.364418233
2020,121,121,1415,721792,132.094,96.7815,42.4152,12.9138,10.9082,7.76394,0.356744629
2020,121,121,1445,721792,94.3243,74.0072,35.8121,11.3417,9.39917,6.66563,0.362525203
2020,121,121,1515,721792,91.7036,76.548,42.2185,11.4973,9.97555,7.03661,0.363700117
2020,121,121,1545,721792,101.201,81.5964,40.1286,12.5357,10.6273,7.03736,0.3660246
2020,122,122,915,721792,166.15,126.855,47.8099,15.9888,16.6739,10.1876,0.372210839
2020,122,122,945,721792,162.396,125.412,48.1064,15.1786,15.5262,9.86136,0.373345114
2020,122,122,1015,721792,160.784,123.761,49.8208,14.0398,14.4003,9.39001,0.370136539
2020,122,122,1045,721792,156.043,119.608,49.377,13.4036,13.4043,8.95802,0.367992911
2020,122,122,1115,721792,147.231,113.305,49.6884,12.8521,12.4581,8.71933,0.365235617
2020,122,122,1145,721792,142.1,108.644,48.6211,12.5572,11.6324,8.23738,0.362914715
2020,122,122,1215,721792,138.881,105.231,46.9891,12.467,11.3525,8.22565,0.361492966
2020,122,122,1245,721792,133.721,99.8179,46.4003,12.3706,10.8589,8.04397,0.356569927
2020,122,122,1315,721792,131.007,96.9526,46.564,12.5616,10.7525,8.17527,0.353166722
2020,122,122,1345,721792,125.39,92.6367,45.5582,12.67,10.6345,8.05236,0.351449192
2020,122,122,1415,721792,124.944,92.3522,44.2385,12.8859,10.7321,7.88733,0.353116432
2020,122,122,1445,721792,124.668,90.6612,42.5121,13.447,10.8885,7.67142,0.351616285
2020,122,122,1515,721792,126.22,91.9824,42.2183,14.0326,11.3191,7.59298,0.353206946
2020,122,122,1545,721792,127.879,92.9738,41.5087,15.4444,12.3076,7.92709,0.354372879
2020,123,123,915,721792,145.89,115.977,43.6711,15.6715,15.2778,8.90097,0.379582775
2020,123,123,945,721792,122.062,101.571,49.882,13.8279,12.9115,8.68114,0.371354405
2020,123,123,1015,721792,89.1957,75.0689,42.5505,11.2477,9.94744,6.98449,0.362975914
2020,123,123,1045,721792,83.3377,71.588,39.8159,11.0037,9.7469,6.76513,0.367605073
2020,123,123,1115,721792,95.1211,79.0711,44.4267,12.0731,10.7181,7.44781,0.361684648
2020,123,123,1145,721792,88.2044,73.7057,40.464,10.6031,9.3129,6.52068,0.364205202
2020,123,123,1215,721792,109.225,89.8579,47.078,10.9184,9.64834,7.39645,0.365037258
2020,123,123,1245,721792,75.6909,62.7431,35.9662,8.76347,7.51495,5.62117,0.359765069
2020,123,123,1315,721792,74.4045,61.4935,36.5353,8.83787,7.61333,5.61159,0.356621952
2020,123,123,1345,721792,115.3,88.0835,39.346,11.5903,9.5303,6.56662,0.362887494
2020,123,123,1415,721792,96.0794,78.0487,41.1982,10.9726,9.13322,6.4269,0.362467102
2020,123,123,1445,721792,85.9152,70.8093,39.2114,10.3743,8.78681,6.2913,0.361390128
2020,123,123,1515,721792,81.6453,67.2087,38.8091,10.2169,8.61546,6.14833,0.35813487
2020,123,123,1545,721792,83.1771,68.5746,38.5122,10.825,8.96854,6.32704,0.360418345
2020,124,124,915,721792,169.324,127.726,51.5776,14.9902,15.9262,10.0558,0.36636801
2020,124,124,945,721792,169.718,128.315,53.3661,14.005,15.0871,9.87852,0.365154606
2020,124,124,1015,721792,167.266,126.361,51.6741,13.6219,14.317,9.44054,0.365944389
2020,124,124,1045,721792,166.044,124.864,50.435,13.0001,13.4569,8.98574,0.36580214
2020,124,124,1115,721792,165.57,127.378,54.0132,12.6315,13.0593,9.42763,0.367124624
2020,124,124,1145,723001,155.201,115.538,49.6779,13.1616,12.7906,9.49823,0.360586473
2020,124,124,1215,723001,152.779,112.994,49.4266,13.127,12.206,8.60389,0.358483957
2020,124,124,1245,723001,147.193,108.18,48.3486,13.0372,11.9673,9.2179,0.35618145
2020,124,124,1315,723001,145.02,105.474,45.8028,12.7956,11.329,8.4861,0.355974145
2020,124,124,1345,723001,144.223,103.574,45.067,12.9033,11.1567,8.32764,0.353659036
2020,124,124,1415,723001,142.657,102.366,44.5125,13.1147,11.0685,8.17571,0.3535525
2020,124,124,1445,723001,141.143,100.287,43.4851,14.2307,11.718,8.3876,0.351989066
