Treatment,Year,Plot,Sample ID,Depth,OC (Mg/Ha),ON (Mg/Ha)
TRT,2020,1,TP12020,10,32.42521525,2.03242499
TRT,2020,1,TP12020,20,17.09815346,1.305487911
TRT,2020,1,TP12020,30,17.29970094,1.502360806
TRT,2020,1,TP12020,40,17.56034774,1.651834477
TRT,2020,1,TP12020,50,13.78867134,1.498073682
TRT,2020,2,TP22020,10,22.66602269,21.7820961
TRT,2020,2,TP22020,20,17.78241114,-1.199137224
TRT,2020,2,TP22020,30,17.58987029,10.40124448
TRT,2020,2,TP22020,40,17.84913616,-15.80067028
TRT,2020,2,TP22020,50,17.54532808,-46.94635462
TRT,2020,3,TP32020,10,22.19484445,2.043570587
TRT,2020,3,TP32020,20,17.42053657,1.462653267
TRT,2020,3,TP32020,30,13.49451171,1.174013192
TRT,2020,3,TP32020,40,15.60411873,1.350959076
TRT,2020,3,TP32020,50,18.89617001,1.565582394
TRT,2020,4,TP42020,10,34.60941479,3.030634764
TRT,2020,4,TP42020,20,22.69765805,2.001028665
TRT,2020,4,TP42020,30,15.16179604,1.364200353
TRT,2020,4,TP42020,40,15.6041393,1.414586532
TRT,2020,4,TP42020,50,15.42545809,1.372059138
TRT,2020,5,TP52020,10,33.38502777,2.958526028
TRT,2020,5,TP52020,20,23.66636702,2.046916603
TRT,2020,5,TP52020,30,14.90392851,1.2690544
TRT,2020,5,TP52020,40,12.93656623,1.163472785
TRT,2020,5,TP52020,50,11.77258963,1.059379207
TRT,2020,6,TP62020,10,21.51407406,1.929540846
TRT,2020,6,TP62020,20,13.29737207,1.179368075
TRT,2020,6,TP62020,30,3.731124657,0.308028225
TRT,2020,6,TP62020,40,3.758593141,0.317882271
TRT,2020,6,TP62020,50,11.9322322,1.074513639
TRT,2020,7,TP72020,10,31.07285305,2.724108266
TRT,2020,7,TP72020,20,19.07138309,1.667053041
TRT,2020,7,TP72020,30,13.63721139,1.197090498
TRT,2020,7,TP72020,40,11.3015262,0.944893232
TRT,2020,7,TP72020,50,9.740355666,0.789685149
TRT,2020,8,TP82020,10,28.54578143,2.53812684
TRT,2020,8,TP82020,20,18.88333342,1.698810167
TRT,2020,8,TP82020,30,19.83923237,1.780875018
TRT,2020,8,TP82020,40,18.35345858,1.610806531
TRT,2020,8,TP82020,50,18.26818958,1.592889999
TRT,2020,9,TP92020,10,32.95051537,3.127272372
TRT,2020,9,TP92020,20,19.58169209,1.696105258
TRT,2020,9,TP92020,30,14.11501164,1.228872615
TRT,2020,9,TP92020,40,13.22446321,1.193098152
TRT,2020,9,TP92020,50,12.81831746,1.079446561
TRT,2020,10,TP102020,10,32.73195492,2.825941946
TRT,2020,10,TP102020,20,13.34409064,1.152964676
TRT,2020,10,TP102020,30,12.00602675,0.975715567
TRT,2020,10,TP102020,40,12.89058844,1.078765959
TRT,2020,10,TP102020,50,13.05299863,1.125777287
TRT,2020,11,TP112020,10,41.38917623,3.3857899
TRT,2020,11,TP112020,20,23.25899578,1.976553565
TRT,2020,11,TP112020,30,14.37919403,1.292316385
TRT,2020,11,TP112020,40,16.46069949,1.419437133
TRT,2020,11,TP112020,50,13.51612143,1.108314398
TRT,2020,12,TP122020,10,40.92622256,2.208992161
TRT,2020,12,TP122020,20,32.52639148,2.518491447
TRT,2020,12,TP122020,30,30.84970163,2.061734085
TRT,2020,12,TP122020,40,30.83919168,1.791694184
TRT,2020,12,TP122020,50,30.82172275,1.841630938
TRT,2020,13,TP132020,10,44.15019409,4.964635593
TRT,2020,13,TP132020,20,35.50214679,3.065063436
TRT,2020,13,TP132020,30,30.37174881,1.923044475
TRT,2020,13,TP132020,40,31.09799865,2.01491926
TRT,2020,13,TP132020,50,31.71292059,1.981389022
TRT,2020,14,TP142020,10,33.54544405,3.330482933
TRT,2020,14,TP142020,20,32.73222027,2.62553528
TRT,2020,14,TP142020,30,31.55879128,2.033007585
TRT,2020,14,TP142020,40,30.53267484,2.000752326
TRT,2020,14,TP142020,50,29.98996525,2.004579425
TRT,2020,15,TP152020,10,21.11813606,2.088029565
TRT,2020,15,TP152020,20,5.231268985,0.506798682
TRT,2020,15,TP152020,30,4.043158438,0.305287378
TRT,2020,15,TP152020,40,9.427749283,0.769225195
TRT,2020,15,TP152020,50,10.74655171,0.929865097
CTL,2020,1,CP12020,10,22.55276322,1.958310142
CTL,2020,1,CP12020,20,20.97442288,1.609853613
CTL,2020,1,CP12020,30,16.75323382,1.29069447
CTL,2020,1,CP12020,40,16.81021425,1.286310975
CTL,2020,1,CP12020,50,17.12995934,1.297619199
CTL,2020,2,CP22020,10,21.35376581,3.757304242
CTL,2020,2,CP22020,20,19.50899311,2.039997289
CTL,2020,2,CP22020,30,16.87792596,0.981443428
CTL,2020,2,CP22020,40,14.23850947,0.962751001
CTL,2020,2,CP22020,50,12.75545162,1.03644085
CTL,2020,3,CP32020,10,22.59438424,2.824187924
CTL,2020,3,CP32020,20,25.10914283,0.961505838
CTL,2020,3,CP32020,30,17.25224085,2.59114753
CTL,2020,3,CP32020,40,13.76427051,-8.710994278
CTL,2020,3,CP32020,50,14.45866478,34.49367129
CTL,2020,4,CP42020,10,28.76211809,1.292900206
CTL,2020,4,CP42020,20,14.89076926,1.19528235
CTL,2020,4,CP42020,30,14.84341978,1.073458163
CTL,2020,4,CP42020,40,16.3721518,0.907383156
CTL,2020,4,CP42020,50,15.46214549,0.908120015
CTL,2020,5,CP52020,10,26.07931818,1.816538003
CTL,2020,5,CP52020,20,24.64689328,3.298559747
CTL,2020,5,CP52020,30,25.7454085,3.679039541
CTL,2020,5,CP52020,40,22.88560007,-6.572007618
CTL,2020,5,CP52020,50,18.82829345,-6.387628106
CTL,2020,6,CP62020,10,29.70355298,1.14641765
CTL,2020,6,CP62020,20,14.26029246,2.867907726
CTL,2020,6,CP62020,30,14.92735077,-8.868758345
CTL,2020,6,CP62020,40,14.75515532,78.02222774
CTL,2020,6,CP62020,50,15.59165594,122.0720506
CTL,2020,7,CP72020,10,20.09133648,1.823877545
CTL,2020,7,CP72020,20,15.78261389,0.860065892
CTL,2020,7,CP72020,30,14.7933342,1.047169618
CTL,2020,7,CP72020,40,13.87210745,1.248067837
CTL,2020,7,CP72020,50,12.72150241,1.040804677
CTL,2020,8,CP82020,10,30.15276709,1.778637797
CTL,2020,8,CP82020,20,21.54412959,1.489112707
CTL,2020,8,CP82020,30,15.78734333,1.228087772
CTL,2020,8,CP82020,40,16.44911778,1.171290776
CTL,2020,8,CP82020,50,16.02292911,0.980662804
CTL,2020,9,CP92020,10,27.98859662,1.70573523
CTL,2020,9,CP92020,20,17.51850002,1.357397439
CTL,2020,9,CP92020,30,15.41681618,1.199356293
CTL,2020,9,CP92020,40,23.88262212,2.203477287
CTL,2020,9,CP92020,50,22.28472557,1.914957005
CTL,2020,10,CP102020,10,69.65155495,2.817457093
CTL,2020,10,CP102020,20,19.29585744,1.579180952
CTL,2020,10,CP102020,30,13.99598879,1.196586737
CTL,2020,10,CP102020,40,18.12695105,1.217806635
CTL,2020,10,CP102020,50,17.13722633,1.129892256
CTL,2020,11,CP112020,10,42.8563208,4.125934284
CTL,2020,11,CP112020,20,22.1600714,1.011095243
CTL,2020,11,CP112020,30,20.29522764,1.283528593
CTL,2020,11,CP112020,40,18.55195277,1.113485971
CTL,2020,11,CP112020,50,16.64203527,0.691179343
CTL,2020,12,CP122020,10,65.31877513,4.389923917
CTL,2020,12,CP122020,20,43.77808497,2.986184207
CTL,2020,12,CP122020,30,18.67906956,1.331796711
CTL,2020,12,CP122020,40,18.31511619,1.267597137
CTL,2020,12,CP122020,50,19.59369482,1.415584503
CTL,2020,13,CP132020,10,27.05651089,4.297758497
CTL,2020,13,CP132020,20,47.69662911,3.212026322
CTL,2020,13,CP132020,30,29.67177572,2.583059956
CTL,2020,13,CP132020,40,30.0425493,2.412316309
CTL,2020,13,CP132020,50,24.13240343,1.781885201
CTL,2020,14,CP142020,10,31.75401541,1.597536166
CTL,2020,14,CP142020,20,12.8808584,1.362312732
CTL,2020,14,CP142020,30,11.76625514,1.19517465
CTL,2020,14,CP142020,40,12.26927511,1.068461015
