Treatment,Year,Plot,Sample ID,Depth,OC (Mg/Ha),ON (Mg/Ha)
TRT,2021,1,TP12021,10,37.26788671,3.188115397
TRT,2021,1,TP12021,20,21.74372615,1.903552774
TRT,2021,1,TP12021,30,19.25872236,1.688725237
TRT,2021,1,TP12021,40,18.5767881,1.694652653
TRT,2021,1,TP12021,50,14.70823288,1.476567916
TRT,2021,2,TP22021,10,40.05747886,3.663784413
TRT,2021,2,TP22021,20,24.19036781,2.363412145
TRT,2021,2,TP22021,30,13.87863384,1.509775813
TRT,2021,2,TP22021,40,11.59202755,1.300150584
TRT,2021,2,TP22021,50,11.11857133,1.223659607
TRT,2021,3,TP32021,10,37.66436464,3.472065399
TRT,2021,3,TP32021,20,24.28026351,2.2193876
TRT,2021,3,TP32021,30,13.06590011,1.235769268
TRT,2021,3,TP32021,40,9.09832755,1.003126895
TRT,2021,3,TP32021,50,7.972372522,0.998429996
TRT,2021,4,TP42021,10,57.90484253,4.74037225
TRT,2021,4,TP42021,20,32.91339069,2.851775727
TRT,2021,4,TP42021,30,11.31832055,1.214364951
TRT,2021,4,TP42021,40,11.64799474,1.229825752
TRT,2021,4,TP42021,50,13.11677395,1.356256508
TRT,2021,5,TP52021,10,32.83229613,2.841320016
TRT,2021,5,TP52021,20,15.87119316,1.578365067
TRT,2021,5,TP52021,30,10.69547522,1.141391023
TRT,2021,5,TP52021,40,7.523005585,0.9455254
TRT,2021,5,TP52021,50,6.850154365,0.902067654
TRT,2021,6,TP62021,10,31.80041659,2.611502736
TRT,2021,6,TP62021,20,20.51845484,1.847579157
TRT,2021,6,TP62021,30,4.572485005,0.767219293
TRT,2021,6,TP62021,40,1.257442819,0.539856938
TRT,2021,6,TP62021,50,9.510386441,1.095847956
TRT,2021,7,TP72021,10,47.30263572,3.786847429
TRT,2021,7,TP72021,20,17.28545253,2.49259802
TRT,2021,7,TP72021,30,-4.001983787,1.307060493
TRT,2021,7,TP72021,40,4.606473174,1.063274752
TRT,2021,7,TP72021,50,12.82375026,1.147176618
TRT,2021,8,TP82021,10,41.44145475,
TRT,2021,8,TP82021,20,27.91694705,
TRT,2021,8,TP82021,30,13.59019559,
TRT,2021,8,TP82021,40,12.83747251,
TRT,2021,8,TP82021,50,21.58863547,
TRT,2021,9,TP92021,10,38.92979905,3.336728377
TRT,2021,9,TP92021,20,31.4651235,2.380810127
TRT,2021,9,TP92021,30,23.09144739,1.292704564
TRT,2021,9,TP92021,40,23.87684534,1.361356072
TRT,2021,9,TP92021,50,24.54099718,1.502065897
TRT,2021,10,TP102021,10,58.14447362,5.489387421
TRT,2021,10,TP102021,20,39.6947722,3.214037243
TRT,2021,10,TP102021,30,28.84899523,1.898940293
TRT,2021,10,TP102021,40,32.58590006,2.413352737
TRT,2021,10,TP102021,50,31.94781798,2.406852854
TRT,2021,11,TP112021,10,48.14235452,3.995079396
TRT,2021,11,TP112021,20,37.76141674,2.689330033
TRT,2021,11,TP112021,30,29.48768592,1.828884427
TRT,2021,11,TP112021,40,26.46798341,1.680012618
TRT,2021,11,TP112021,50,26.39676053,1.730074835
TRT,2021,12,TP122021,10,78.08457467,6.098452523
TRT,2021,12,TP122021,20,34.16525201,2.598903435
TRT,2021,12,TP122021,30,15.61381119,1.182000825
TRT,2021,12,TP122021,40,24.5837732,1.953988688
TRT,2021,12,TP122021,50,26.87044574,2.063044403
TRT,2021,13,TP132021,10,48.62141809,4.362444498
TRT,2021,13,TP132021,20,28.23397323,2.31360488
TRT,2021,13,TP132021,30,17.19625427,1.115560693
TRT,2021,13,TP132021,40,22.3165521,1.495353352
TRT,2021,13,TP132021,50,23.07054118,1.576604168
TRT,2021,14,TP142021,10,,3.437950186
TRT,2021,14,TP142021,20,,2.526894363
TRT,2021,14,TP142021,30,,1.639504966
TRT,2021,14,TP142021,40,,1.623972759
TRT,2021,14,TP142021,50,,1.535119908
TRT,2021,15,TP152021,10,19.1,1.5
TRT,2021,15,TP152021,20,16.1,1.3
TRT,2021,15,TP152021,30,11.1,0.9
TRT,2021,15,TP152021,40,9.9,0.9
TRT,2021,15,TP152021,50,11.8,1.1
CTL,2021,1,CP12021,10,24.59436941,2.310922931
CTL,2021,1,CP12021,20,17.10043294,1.460219459
CTL,2021,1,CP12021,30,14.15188663,1.21077626
CTL,2021,1,CP12021,40,13.4506438,1.204297746
CTL,2021,1,CP12021,50,12.3351478,1.080977551
CTL,2021,2,CP22021,10,22.00164902,2.029288287
CTL,2021,2,CP22021,20,19.5945712,1.691101316
CTL,2021,2,CP22021,30,16.01660396,1.281530835
CTL,2021,2,CP22021,40,12.78005185,0.996298225
CTL,2021,2,CP22021,50,11.48418216,0.957119005
CTL,2021,3,CP32021,10,20.21364412,1.823829351
CTL,2021,3,CP32021,20,16.83583017,1.452395743
CTL,2021,3,CP32021,30,13.86693165,1.165379868
CTL,2021,3,CP32021,40,12.55769967,1.096714445
CTL,2021,3,CP32021,50,12.22666003,1.116935649
CTL,2021,4,CP42021,10,20.79639531,1.88720398
CTL,2021,4,CP42021,20,22.05290463,1.95334829
CTL,2021,4,CP42021,30,18.57368104,1.583590382
CTL,2021,4,CP42021,40,11.94104073,0.956730075
CTL,2021,4,CP42021,50,11.90797157,0.971791627
CTL,2021,5,CP52021,10,,1.49875111
CTL,2021,5,CP52021,20,,1.528281131
CTL,2021,5,CP52021,30,,1.395622594
CTL,2021,5,CP52021,40,,1.271243243
CTL,2021,5,CP52021,50,,1.241688616
CTL,2021,6,CP62021,10,,2.572559677
CTL,2021,6,CP62021,20,,1.348504413
CTL,2021,6,CP62021,30,,1.204075923
CTL,2021,6,CP62021,40,,1.191475127
CTL,2021,6,CP62021,50,,1.102463956
CTL,2021,7,CP72021,10,44.24975456,4.468505499
CTL,2021,7,CP72021,20,26.10563666,2.857665268
CTL,2021,7,CP72021,30,9.227941065,1.369576644
CTL,2021,7,CP72021,40,8.440244936,1.305447819
CTL,2021,7,CP72021,50,8.828191354,1.302928869
CTL,2021,8,CP82021,10,18.51251014,2.294864176
CTL,2021,8,CP82021,20,19.61653408,2.344393752
CTL,2021,8,CP82021,30,18.75217624,2.166441021
CTL,2021,8,CP82021,40,16.91149052,1.805596616
CTL,2021,8,CP82021,50,16.81569713,1.466610729
CTL,2021,9,CP92021,10,23.4768954,2.587040272
CTL,2021,9,CP92021,20,25.41802073,2.68927811
CTL,2021,9,CP92021,30,22.7302443,2.430834807
CTL,2021,9,CP92021,40,16.44245726,1.936568837
CTL,2021,9,CP92021,50,14.24737281,1.772944035
CTL,2021,10,CP102021,10,21.70412766,2.425960941
CTL,2021,10,CP102021,20,13.4368844,1.72752677
CTL,2021,10,CP102021,30,12.89489936,1.702705787
CTL,2021,10,CP102021,40,11.84980472,1.53296394
CTL,2021,10,CP102021,50,11.49475923,1.308873105
CTL,2021,11,CP112021,10,58.78719648,4.421054997
CTL,2021,11,CP112021,20,22.73486235,1.766000827
CTL,2021,11,CP112021,30,28.0413129,2.35947394
CTL,2021,11,CP112021,40,26.12749764,2.163092362
CTL,2021,11,CP112021,50,20.54638482,1.639104707
CTL,2021,12,CP122021,10,44.08953167,2.978530289
CTL,2021,12,CP122021,20,27.99241543,1.90902124
CTL,2021,12,CP122021,30,14.30202681,0.98415772
CTL,2021,12,CP122021,40,14.59626272,0.973995192
CTL,2021,12,CP122021,50,15.46185343,1.055179038
CTL,2021,13,CP132021,10,39.52055226,2.817650499
CTL,2021,13,CP132021,20,24.08800855,1.592788215
CTL,2021,13,CP132021,30,18.49637382,1.241046192
CTL,2021,13,CP132021,40,13.70749689,0.850165871
CTL,2021,13,CP132021,50,12.14359867,0.791843251
CTL,2021,14,CP142021,10,34.15771997,2.824574368
CTL,2021,14,CP142021,20,18.62222409,1.392402038
CTL,2021,14,CP142021,30,14.67650639,1.203845864
CTL,2021,14,CP142021,40,14.47036087,1.202336649
